Jupyter
1.15,4.27,0.28,7.24
0.86,7.48,2.96,8.66
5.56,8.79,8.47,7.48
7.39,3.08,6.01,3.67
3.37,4.73,5.69,0.54
5.21,7.91,6.88,0.6
3.11,7.77,1.87,0.27
4.42,2.75,6.32,0.43
9.3,4.97,9.51,8.47
7.0,9.38,7.82,9.17
3.16,4.58,4.79,9.09
8.01,0.48,6.12,2.4
3.63,9.95,1.98,9.72
2.4,3.89,3.96,8.48
3.02,0.05,5.26,8.82
6.98,9.99,1.68,6.75
1.74,5.54,1.53,7.99
0.86,6.09,5.55,9.87
9.52,2.32,3.33,8.82
0.58,6.79,1.53,0.07
3.8,6.71,0.16,1.99
1.8,3.31,9.46,9.14
9.4,0.29,8.8,2.36
6.57,4.63,7.97,8.93
7.31,9.07,1.34,3.96
4.27,6.02,0.82,1.29
7.32,3.45,6.23,3.02
0.85,3.11,2.48,6.8
8.18,1.35,8.59,6.7
4.6,9.51,9.38,7.3
1.43,5.78,8.64,9.09
2.08,9.84,8.33,1.19
7.22,4.97,1.67,3.82
9.67,7.68,3.4,4.57
1.5,1.42,6.31,7.92
4.66,9.15,6.51,9.05
8.38,4.31,6.73,6.95
1.47,4.02,0.12,7.63
4.37,3.73,9.49,1.57
7.49,1.96,3.0,9.84
5.71,5.49,7.06,5.66
5.52,8.76,4.51,2.12
1.01,8.53,7.06,6.79
1.93,1.5,6.18,7.7
0.67,9.49,6.94,8.4
8.76,8.92,3.45,4.93
4.73,9.75,3.33,6.72
5.66,4.76,2.74,8.02
2.4,9.08,4.97,9.34
1.22,5.1,2.04,6.49
3.36,3.17,5.62,4.39
7.56,9.67,5.12,2.71
6.88,8.8,5.33,8.66
2.9,6.39,6.88,4.42
5.22,0.63,4.17,3.43
0.4,2.97,0.62,3.49
3.83,2.87,6.15,3.45
0.77,1.89,6.53,7.04
5.0,8.78,6.91,5.39
6.87,9.34,0.35,4.64
4.46,0.23,2.91,7.15
8.05,4.74,7.83,9.74
1.93,2.73,6.83,4.34
1.66,1.31,7.48,8.68
4.01,9.35,9.28,4.3
2.06,0.55,3.31,3.4
4.99,3.76,8.11,9.62
6.17,4.56,9.91,9.06
0.71,0.49,3.91,8.11
4.9,9.39,9.46,1.39
5.27,0.39,6.82,1.66
8.86,7.84,8.72,5.08
6.96,5.44,6.81,8.17
2.7,9.86,4.09,0.68
5.84,5.23,3.31,9.81
3.64,5.1,5.7,3.04
4.91,7.83,6.1,1.15
6.21,3.34,2.39,8.71
6.4,3.55,9.85,9.71
9.45,4.71,7.72,7.24
8.41,4.13,3.45,2.8
4.46,9.69,9.01,6.27
6.05,8.6,7.36,9.12
4.41,8.43,2.35,6.58
7.22,7.35,5.44,3.81
0.65,5.89,2.2,7.13
2.6,8.95,9.09,0.61
8.94,6.44,7.84,2.19
0.78,3.74,8.32,0.96
6.06,4.96,1.22,3.42
0.77,3.29,2.13,1.01
6.26,7.52,2.39,4.71
8.58,4.0,7.49,4.57
0.06,6.88,5.87,1.19
7.02,5.43,5.86,5.27
2.31,1.03,3.5,2.61
5.68,7.86,2.08,3.98
4.61,7.57,4.67,8.9
7.11,2.27,2.59,6.85
8.53,6.59,6.47,0.84
6.59,7.78,9.44,0.83
5.72,2.49,9.42,1.08
5.54,0.4,1.46,2.07
1.96,7.63,2.18,2.55
4.7,2.13,4.0,9.19
6.15,5.62,2.27,2.17
1.95,4.72,8.67,3.18
9.43,6.45,6.42,7.07
2.32,2.44,5.3,6.81
4.63,5.05,7.91,1.97
9.0,6.4,1.75,7.93
5.83,4.01,2.23,2.02
4.17,2.34,9.01,1.42
1.32,1.96,2.86,2.05
9.22,9.25,2.74,2.27
8.62,6.46,3.59,1.7
6.48,3.75,7.63,6.34
8.59,3.44,7.12,6.32
4.38,0.92,2.05,5.02
1.39,2.87,5.41,5.18
2.56,8.62,3.06,8.0
3.83,7.25,0.26,2.27
7.02,4.97,6.12,8.83
5.37,2.32,3.99,6.11
4.44,0.92,4.05,5.54
4.65,6.79,4.08,4.1
0.4,8.3,1.61,6.96
6.4,6.85,0.39,0.69
8.9,3.65,2.17,4.48
3.39,6.67,9.58,9.0
4.28,1.19,9.7,3.48
1.52,1.39,9.97,0.85
5.64,5.78,8.06,2.54
0.47,8.08,0.17,3.15
0.18,5.24,0.7,1.12
0.61,8.35,7.4,9.2
0.94,4.07,2.44,4.06
5.61,3.56,2.62,5.45
4.94,0.25,4.26,0.94
3.71,9.28,5.14,2.75
9.91,6.22,3.2,1.66
9.9,8.92,0.77,9.59
8.54,7.58,8.74,0.96
2.67,9.89,6.18,8.42
2.8,1.56,7.9,8.39
4.44,0.42,7.63,9.74
2.01,7.39,5.96,0.34
4.69,1.38,5.75,5.47
2.17,3.24,1.73,4.29
7.6,6.42,5.15,5.87
3.22,4.92,0.46,1.78
4.14,8.7,3.42,2.63
1.77,2.2,3.41,2.06
9.39,2.71,4.95,0.13
7.55,7.15,1.62,5.61
3.68,9.44,9.5,2.88
0.65,0.68,9.2,0.83
0.99,2.12,8.08,5.21
1.35,0.98,0.52,6.12
6.07,4.96,0.62,1.57
9.44,0.53,0.46,2.74
6.4,3.81,7.75,9.01
2.1,7.63,2.26,8.74
5.39,7.53,1.78,0.06
1.21,8.4,9.63,1.46
2.94,9.88,9.39,2.78
5.81,3.3,4.44,2.19
2.28,3.01,3.18,7.44
5.53,6.44,7.27,1.06
1.77,5.32,3.36,8.61
7.36,7.88,4.83,2.62
3.0,5.66,1.94,9.36
9.71,4.05,7.92,2.91
4.43,1.17,7.9,2.78
0.74,5.32,8.73,4.25
9.11,1.37,9.7,9.84
4.09,5.62,2.02,8.58
1.77,4.19,3.56,5.88
5.05,8.19,4.82,8.52
8.09,1.96,1.05,6.01
6.69,4.74,9.2,0.71
9.92,5.46,3.36,7.75
0.67,9.1,4.86,6.63
4.96,4.19,2.27,3.7
0.81,4.63,1.58,2.47
2.0,5.09,1.85,5.33
8.8,0.81,2.3,6.23
4.86,1.18,2.25,3.75
6.87,9.66,6.81,4.7
2.59,7.8,2.95,0.5
9.02,3.81,9.18,2.65
9.68,3.77,8.7,9.41
4.91,4.77,6.87,9.41
1.71,5.22,1.54,3.87
0.4,6.87,6.87,1.04
1.56,7.82,9.17,9.39
2.65,7.0,6.24,9.21
1.04,6.05,3.4,2.16
7.5,3.21,3.73,9.49
7.02,2.38,3.77,6.61
8.97,9.9,5.57,0.85
7.18,1.24,1.54,5.28
0.74,8.49,1.36,1.0
0.34,4.52,2.43,8.25
7.13,3.32,9.03,0.54
3.03,7.52,4.09,6.12
3.94,5.22,3.31,5.16
7.7,3.71,8.28,5.97
7.22,7.79,9.23,6.46
1.91,2.45,2.26,7.46
5.36,2.46,5.64,4.17
2.83,4.03,0.9,8.76
4.91,7.29,6.39,8.82
6.28,8.08,4.53,6.49
6.35,9.7,1.98,9.74
1.37,9.94,2.9,7.07
9.13,5.64,4.85,5.73
1.1,5.7,3.65,8.08
3.29,4.2,9.62,9.48
3.08,9.1,0.86,1.04
0.02,7.43,7.5,9.56
6.1,8.72,2.82,8.19
9.52,7.39,3.45,6.06
5.9,0.62,2.38,3.9
2.76,7.82,7.13,9.1
3.13,8.06,2.76,8.38
6.33,7.77,7.53,5.05
3.11,0.48,6.59,1.23
9.64,9.33,3.69,5.58
0.64,1.07,7.89,6.67
5.25,0.56,5.84,4.94
2.05,7.68,0.36,5.11
3.66,6.61,4.22,9.58
5.08,4.3,0.32,2.05
0.04,2.94,4.45,9.08
9.49,9.89,9.18,1.22
8.08,5.71,8.94,8.3
8.67,5.48,2.34,7.32
5.68,5.03,2.33,7.2
3.21,5.18,2.69,9.45
9.09,9.58,8.93,3.46
8.56,3.84,3.59,5.07
1.51,6.04,3.88,8.72
6.64,7.85,7.74,8.92
4.87,2.94,0.74,2.87
8.27,0.77,5.91,3.16
9.46,6.9,8.68,7.9
8.8,0.37,3.13,5.49
8.32,1.23,8.33,6.83
0.07,7.46,3.27,4.62
9.23,8.07,2.65,9.87
7.89,8.77,8.77,5.87
8.65,3.91,3.07,8.39
3.05,6.41,6.41,6.72
3.67,0.03,9.56,1.72
5.36,5.21,8.4,7.54
4.87,3.55,4.63,8.29
5.95,1.77,8.74,6.31
8.91,3.16,1.43,3.35
4.22,5.16,3.44,5.38
8.32,4.23,1.02,6.25
0.42,3.4,8.56,0.1
8.99,4.19,0.16,6.21
4.05,7.63,6.39,1.64
5.93,3.61,5.55,5.28
0.69,9.37,8.03,1.64
8.43,0.37,2.05,3.18
3.81,0.06,5.68,9.95
4.72,0.63,9.53,4.47
5.3,0.82,8.96,3.16
4.09,5.11,3.93,5.95
5.47,0.49,1.41,3.52
7.74,5.37,5.69,2.44
8.54,7.1,0.36,6.03
6.15,8.68,3.83,7.38
6.31,8.76,0.12,4.25
4.03,4.26,3.43,8.11
4.18,7.82,0.14,2.23
8.78,5.48,5.04,3.51
3.78,7.44,7.48,0.82
3.72,1.51,5.45,2.31
5.33,5.6,1.38,6.99
1.68,2.89,7.0,8.36
1.24,7.67,0.53,8.07
7.78,2.87,0.12,4.29
6.85,8.16,0.71,7.44
4.94,5.45,0.66,2.21
2.96,1.75,4.96,8.28
7.54,3.79,1.61,6.26
3.05,5.79,7.57,9.7
9.2,0.76,9.65,7.62
2.75,4.28,0.67,9.63
0.12,3.37,1.81,2.75
3.38,4.84,6.12,7.79
8.33,7.55,2.41,7.0
4.77,4.92,2.32,1.14
9.55,5.29,2.23,6.82
4.93,4.73,7.55,2.77
1.09,1.51,2.04,4.47
1.87,0.22,2.31,9.18
1.76,4.38,6.75,7.44
9.91,9.46,4.92,8.8
0.95,5.57,7.07,4.97
9.8,0.13,9.68,7.18
2.0,9.27,4.96,5.66
0.75,8.22,5.95,4.35
2.7,6.85,0.85,3.1
2.83,1.06,7.51,8.42
1.69,6.46,6.5,8.76
5.67,6.45,6.42,9.25
3.37,2.21,2.76,1.01
0.56,5.17,6.78,5.98
3.45,0.18,7.42,1.3
7.11,6.0,1.35,3.78
0.5,8.27,2.9,1.5
3.37,8.76,9.51,1.99
0.04,4.29,2.15,6.9
2.56,2.26,8.43,4.98
5.26,6.87,5.12,2.08
5.18,0.41,4.07,2.0
2.13,5.42,1.81,8.6
2.54,6.37,9.11,8.74
1.28,5.29,6.31,2.29
8.65,5.96,3.77,9.21
0.27,6.75,4.71,9.08
7.95,6.1,2.02,7.32
3.28,3.37,2.83,8.93
5.16,2.09,6.15,2.36
8.2,0.14,1.88,4.04
3.28,7.7,8.83,5.83
9.35,6.76,9.89,4.32
9.15,3.63,8.21,1.29
7.87,6.08,5.43,5.88
0.92,6.95,1.03,5.17
2.76,2.3,7.88,1.4
2.89,4.01,0.27,8.28
8.61,4.63,6.58,7.27
1.2,6.54,1.49,0.83
7.97,0.86,4.39,5.84
3.89,1.66,8.84,0.1
6.56,7.17,5.52,5.3
0.78,8.98,6.75,7.54
2.62,2.17,9.38,7.35
2.74,9.31,0.75,5.71
5.11,1.59,3.9,0.58
7.92,5.03,1.38,3.44
2.93,9.59,9.43,8.19
8.46,7.37,4.69,1.87
3.85,0.68,1.3,8.38
1.46,0.32,7.16,9.19
4.66,3.66,4.33,5.66
7.21,0.81,3.84,4.28
9.42,1.41,9.46,1.3
9.75,4.87,7.55,4.67
1.61,6.37,0.69,4.92
1.46,4.35,2.6,6.41
9.21,1.21,7.55,1.74
8.85,3.87,2.18,9.62
4.71,5.02,1.26,3.3
8.21,3.65,1.49,8.82
3.08,2.43,1.1,0.77
2.46,8.7,3.03,0.31
6.32,0.21,4.26,6.39
4.06,10.0,1.69,6.85
9.1,2.61,5.76,8.82
9.58,4.6,7.46,9.9
0.44,5.96,8.63,6.2
8.93,0.19,4.38,8.55
7.7,2.49,1.26,7.77
4.21,0.59,5.83,0.73
9.62,2.81,0.74,3.47
0.71,4.09,3.15,4.19
5.98,8.53,3.57,1.42
0.25,0.35,4.74,7.16
